,가게명,업종,전화번호,주소,별점,리뷰
47,경희대성빈태권도 신흥관,태권도,010-5049-0733,대전 동구 동대전로46번길 29,-,방문자리뷰 78 블로그리뷰 2 
48,용인대다사랑태권도,태권도,0507-1465-7222,대전 동구 새들2길 30 에코타워 5층 용인대다사랑태권도,-,방문자리뷰 19 
49,효성태권도장,태권도,042-634-1253,대전 동구 계족로 364 2층 효성태권도,-,방문자리뷰 6 블로그리뷰 2 
50,롯데태권도장,태권도,0507-1377-6333,대전 서구 신갈마로 46 롯데아파트 상가 3층,"별점
4.38",방문자리뷰 69 블로그리뷰 15 
51,청운태권도,태권도,0507-1399-8004,"대전 동구 계족로463번길 49 3,4층","별점
4.82",방문자리뷰 12 블로그리뷰 1 
52,한국체대마스터한태권도,태권도,0507-1428-0834,대전 서구 복수동로 40-13 신계빌딩 2층,-,방문자리뷰 46 블로그리뷰 25 
53,KTI연세대태권도,태권도,0507-1367-2110,대전 동구 동대전로46번길 30 이스트시티1단지 상가 2층 연세대태권도,-,방문자리뷰 13 블로그리뷰 2 
54,용전장원태권도,태권도,0507-1413-1858,대전 동구 계족로489번길 73 한숲아파트,"별점
4.71",방문자리뷰 49 블로그리뷰 27 
55,온누리태권도,태권도,042-369-6786,대전 서구 신갈마로 95 갈마그랜드프라자 3층 온누리 태권도,-,방문자리뷰 10 블로그리뷰 1 
56,참사람태권도,태권도,0507-1331-1409,대전 동구 태전로 132-11 재성빌딩 2층,"별점
4.25",방문자리뷰 51 
57,용인대일등태권도,태권도,042-488-5515,대전 서구 계룡로571번길 65,-,방문자리뷰 16 
58,용인대래미안태권도,태권도,042-527-7676,대전 서구 가장로 106,-,방문자리뷰 32 블로그리뷰 6 
59,신흥태권도,태권도,0507-1334-5448,대전 동구 충무로 250 2층 신흥태권도,-,방문자리뷰 8 블로그리뷰 7 
60,행복태권도,태권도,0507-1315-4450,대전 서구 계룡로500번길 54 2층,-,방문자리뷰 18 
61,둔원태권도,태권도,0507-1430-5613,대전 서구 갈마로147번길 86,-,방문자리뷰 73 
62,경희대성빈태권도 용운관,태권도,010-5287-0733,대전 동구 계족로140번길 183 덕림빌딩 3층,-,방문자리뷰 35 
63,한울태권도스포츠센터,태권도,042-626-7620,대전 대덕구 비래동로15번길 2 대양코아3층 한울태권도스포츠센터,-,방문자리뷰 8 
64,한울태권도,태권도,042-521-0201,대전 서구 신갈마로 59 4층,-,방문자리뷰 9 
65,MTA코리아태권도 대전서구 정림관,태권도장,042-583-2030,대전 서구 정림동로7번길 6,"별점
4.43",방문자리뷰 88 블로그리뷰 10 
66,단국대 신화태권도,태권도,0507-1309-8985,대전 동구 동구청로 10 은어송프라자 4층,"별점
4.06",방문자리뷰 17 블로그리뷰 150 
67,용인대 둔산3태권도장,태권도,0507-1363-4105,대전 서구 둔산북로 175 3층,-,방문자리뷰 10 블로그리뷰 1 
68,고려대서구태권도,태권도,0507-1329-6740,대전 서구 계룡로342번길 209 2층 서구태권도,-,방문자리뷰 21 
69,세계로태권도,태권도,042-286-3400,대전 동구 산내로 1375 오투그란데 상가 3층 세계로태권도,-,방문자리뷰 24 
70,경희대이룸태권도,태권도,-,대전 서구 바탕들3길 26 2층,-,
71,Top태권도&유소년스포츠클럽,태권도,042-365-8080,대전 동구 대전로 643-1,-,방문자리뷰 4 
72,힘찬태권도,태권도,-,대전 서구 문정로 134,-,방문자리뷰 2 
73,창신태권도,"무예,격투기",042-489-4555,대전 서구 문정로90번길 65 대원빌딩 6층 601호,-,방문자리뷰 3 블로그리뷰 1 
74,문무태권도,태권도,0507-1325-9779,대전 동구 한밭대로1237번길 41 4충 문무태권도,-,방문자리뷰 5 
75,강한태권도장,태권도,0507-1354-0852,대전 서구 오량2길 3 3층,-,방문자리뷰 1 
76,용인대은성태권도 2관,"무예,격투기",042-284-5100,대전 동구 용운로205번길 34 상가 3층,-,방문자리뷰 82 블로그리뷰 6 
77,도성태권도,"무예,격투기",010-5444-4913,대전 서구 도산로 410 3층,-,블로그리뷰 19 
78,충효태권도합기도 탄방관,"무예,격투기",0507-1415-1510,대전 서구 문정로 100 한살림 2층,-,방문자리뷰 38 블로그리뷰 30 
79,퍼스트은성태권도 3관,"무예,격투기",042-285-5100,대전 동구 대전로542번길 80-99 4층,-,방문자리뷰 9 블로그리뷰 4 
80,청사태권도장,"무예,격투기",042-488-0042,대전 서구 청사로 254 둥지아파트 106동,"별점
4.17",방문자리뷰 154 블로그리뷰 12 
81,아이사랑태권도 둔산본관,"무예,격투기",042-484-5288,대전 서구 둔산북로 160,"별점
4.57",방문자리뷰 55 블로그리뷰 18 
82,태사랑태권도,"무예,격투기",042-585-8017,대전 서구 정림로 22,"별점
4.3",방문자리뷰 71 블로그리뷰 87 
83,용인대은성태권도,"무예,격투기",0507-1332-5946,대전 동구 용운로 121 301호,-,방문자리뷰 17 블로그리뷰 2 
84,코리아태권도장,"무예,격투기",0507-1335-2052,대전 서구 복수서로 15 복수센트럴자이,-,방문자리뷰 25 블로그리뷰 51 
85,경희대파란태권도,"무예,격투기",0507-1418-3223,대전 동구 옥천로180번길 15,-,방문자리뷰 28 블로그리뷰 3 
86,블루밍태권도장,"무예,격투기",042-527-3377,대전 서구 갈마로 262 맑은아침아파트 후문상가 3층,"별점
4.67",방문자리뷰 45 블로그리뷰 1 
87,엑티브태권도,"무예,격투기",042-285-2993,대전 동구 동구청로 89-22,"별점
4.44",방문자리뷰 47 블로그리뷰 3 
88,용인대지노태권스쿨,"무예,격투기",042-584-1323,대전 서구 복수중로34번길 3 해든마트 2층,-,방문자리뷰 57 블로그리뷰 84 
89,둔산태권도장,"무예,격투기",0507-1334-4106,대전 서구 청사로 282 단지내 상가 3층,"별점
5",방문자리뷰 49 블로그리뷰 8 
90,정진태권도,"무예,격투기",042-321-5545,대전 동구 우암로 192 아침마을아파트 상가 3층 정진태권도,-,방문자리뷰 52 블로그리뷰 1 
91,JE 양우태권도 도마내동점,"무예,격투기",0507-1480-3313,대전 서구 배재로172번길 3 3층,-,방문자리뷰 24 블로그리뷰 85 
92,태권도담,"무예,격투기",042-471-4715,대전 서구 둔산로 201 국화라이프상가 203호,-,방문자리뷰 42 블로그리뷰 5 
93,용인대꿈나무태권도,"무예,격투기",042-283-0232,대전 동구 옥천로176번길 15-13,"별점
4.84",방문자리뷰 60 
94,용인대현대태권도,"무예,격투기",042-285-7774,대전 동구 대전로542번길 121 단지내상가 3층,"별점
4.82",방문자리뷰 45 
95,단국대단웅태권도,"무예,격투기",042-483-4933,대전 서구 도산로253번길 45 백제빌딩4층,-,방문자리뷰 31 
96,단웅태권도장,"무예,격투기",042-286-1062,대전 동구 신기로 85,-,방문자리뷰 7 
97,용인대백룡태권도,"무예,격투기",042-585-8688,대전 서구 복수남로12번길 44,-,방문자리뷰 38 블로그리뷰 1 
98,유신태권도장,"무예,격투기",0507-1404-7044,대전 대덕구 비래동로31번길 6 3층,"별점
4.94",방문자리뷰 45 
99,가온태권도,"무예,격투기",0507-1389-6825,대전 서구 복수동로51번길 18 3층 가온태권도,-,블로그리뷰 43 
100,스마트태권도 괴정관,"무예,격투기",042-535-3292,대전 서구 도솔로 343,-,방문자리뷰 19 
101,스마트태권도장,"무예,격투기",042-638-1020,대전 동구 성남로 15,"별점
4.25",방문자리뷰 62 
102,제일태권도,"무예,격투기",-,대전 동구 가양로 89 (가양동),-,방문자리뷰 20 
103,인성태권도,"무예,격투기",0507-1422-7274,대전 서구 정림로 50 3층,"별점
4.95",방문자리뷰 43 블로그리뷰 1 
104,효성태권도,"무예,격투기",0507-1369-7549,대전 동구 충정로 131 201호 효성태권도,-,방문자리뷰 3 
105,늘푸른태권도,"무예,격투기",042-628-2992,대전 동구 동대전로248번길 33 2층 늘푸른태권도장,-,방문자리뷰 21 블로그리뷰 1 
106,극동태권도장,"무예,격투기",042-282-5373,대전 동구 산내로1287번길 10-5 4층,"별점
4.39",방문자리뷰 31 블로그리뷰 3 
107,청우태권도장 태극관,"무예,격투기",042-523-5979,대전 서구 배재로 176 3층,-,방문자리뷰 23 
108,단국대나래태권도,"무예,격투기",042-272-5443,대전 동구 용운로 69,-,방문자리뷰 41 
109,서오태권도,"무예,격투기",0507-1309-0918,대전 대덕구 동춘당로23번길 46 2층,-,방문자리뷰 9 블로그리뷰 5 
110,용인대은어송태권도,"무예,격투기",042-271-0777,대전 동구 동구청로 35,-,방문자리뷰 7 
111,ALL바른태권도 둔산도장,"무예,격투기",042-483-0302,대전 서구 둔산남로 30,-,방문자리뷰 17 블로그리뷰 28 
112,용인대푸른태권도,"무예,격투기",042-283-7727,대전 동구 신기로 99,-,방문자리뷰 14 블로그리뷰 2 
113,호암태권도장,"무예,격투기",042-483-1013,대전 서구 둔산로 155,-,방문자리뷰 64 블로그리뷰 9 
114,경희대건강드림태권도,"무예,격투기",042-485-1983,대전 서구 둔산남로9번길 79 2층,-,방문자리뷰 32 
115,아랑태권도,"무예,격투기",042-531-7779,대전 서구 가장로 144,"별점
4.52",방문자리뷰 28 블로그리뷰 1 
116,스페셜리태권도,"무예,격투기",042-581-8333,대전 서구 복수남로 17 명품빌딩 2층,"별점
4.98",방문자리뷰 69 블로그리뷰 27 
117,우정태권도,"무예,격투기",042-284-3744,대전 동구 용운로 203 상가동 2층 206호,-,방문자리뷰 21 
118,배재태권도장,"무예,격투기",042-533-8265,대전 서구 도솔로 53,-,방문자리뷰 31 블로그리뷰 2 
119,국가대표 울림태권도,"무예,격투기",042-284-1216,대전 동구 대전로542번길 95 2층 국가대표 울림태권도,-,방문자리뷰 7 블로그리뷰 14 
120,충무태권도체육관,"무예,격투기",042-626-7363,대전 대덕구 계족로489번길 84,-,방문자리뷰 8 블로그리뷰 1 
121,베스트태권도장,"무예,격투기",042-286-9364,대전 동구 산내로 1333,-,방문자리뷰 10 블로그리뷰 1 
122,용인대 라이온킹태권도,"무예,격투기",042-477-7888,대전 서구 신갈마로 242,-,방문자리뷰 16 
123,용인대태권도스포츠클럽,"무예,격투기",042-483-7278,대전 서구 둔산로 201 국화아파트,-,블로그리뷰 3 
124,하늘찬태권도,"무예,격투기",042-285-3966,대전 동구 은어송로 117 은어송마을3단지,-,방문자리뷰 2 
125,용인대힘찬태권도장,"무예,격투기",042-633-5288,대전 동구 동산초교로 41 파밀리에존상가 301호,-,방문자리뷰 21 
126,경희대석사태권도,"무예,격투기",042-634-3232,대전 동구 동서대로 1518 3층,-,방문자리뷰 12 
127,용인대변동태권도,"무예,격투기",042-532-7676,대전 서구 중반2길 116,-,방문자리뷰 46 블로그리뷰 2 
128,이룰성태권도,"무예,격투기",042-636-3797,대전 대덕구 한밭대로 1017,-,방문자리뷰 9 블로그리뷰 1 
129,정상태권도체육관,"무예,격투기",042-523-8713,대전 서구 도산로 298-1,-,방문자리뷰 16 블로그리뷰 2 
130,세종대왕태권도장,"무예,격투기",042-634-7737,대전 동구 동산초교로55번길 17,-,방문자리뷰 2 
131,태권사랑푸르미르,"무예,격투기",042-524-6885,대전 서구 배재로 155-7,-,방문자리뷰 8 
132,용인대용전태권도,"무예,격투기",042-636-7982,대전 대덕구 계족로489번길 68,-,방문자리뷰 10 블로그리뷰 30 
133,용인대한솔태권도장,"무예,격투기",0507-1423-7557,대전 동구 동서대로1770번길 47,-,방문자리뷰 14 
134,둔산태권도장,"무예,격투기",042-486-4200,대전 서구 둔산로 220,-,방문자리뷰 15 블로그리뷰 4 
135,아리솔태권도,"무예,격투기",042-282-7686,대전 동구 신기로101번길 5-11 3층,-,
136,하나태권도,"무예,격투기",042-622-0911,대전 대덕구 대전로1131번길 12-23,-,방문자리뷰 4 
137,엔젤태권도체육관,"무예,격투기",042-486-8302,대전 서구 월평로 13,-,블로그리뷰 1 
138,백제태권도장,"무예,격투기",042-632-0166,대전 동구 대학로50번길 56 글로리아빌딩,-,
139,강박사태권도장,"무예,격투기",042-586-1100,대전 서구 복수동로 39-26,-,방문자리뷰 33 
140,스마일태권도,"무예,격투기",0507-1362-0123,대전 서구 정림동로5번길 6 2층 스마일태권도,-,방문자리뷰 1 
141,경희대우성태권도,"무예,격투기",0507-1332-0361,대전 동구 가양로68번길 2,-,방문자리뷰 18 
142,한신태권도,"무예,격투기",042-525-1977,대전 서구 계룡로536번길 9,-,
143,경희태권도아카데미,"무예,격투기",042-533-4077,대전 서구 계룡로536번길 9,-,
144,지성태권도장,"무예,격투기",042-285-2579,대전 동구 대전로 664 현대아파트,-,
145,우리I태권도,"무예,격투기",042-527-8999,대전 서구 갈마중로 12,-,블로그리뷰 1 
146,경무고려태권도장,"무예,격투기",-,대전 동구 한밭대로1237번길 74,-,방문자리뷰 1 
147,자양 태권도 체육관,"무예,격투기",-,대전 동구 동대전로 107,-,방문자리뷰 2 
148,대찬태권도,"무예,격투기",042-524-4094,대전 서구 도솔로 133,-,
149,준태권도장,"무예,격투기",042-272-0958,대전 동구 동구청로 95,-,방문자리뷰 10 
150,중정태권도장,"무예,격투기",-,대전 동구 산수1길 15,-,
151,비젼태권도,"무예,격투기",-,대전 동구 홍도로33번길 51,-,방문자리뷰 1 
152,웅비태권도,"무예,격투기",042-635-5437,대전 동구 흥룡로65번길 59,-,
153,가온누리스포츠클럽,"무예,격투기",-,대전 동구 동대전로 247,-,
